L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 4 2 2 2 50000000 400 800 800 0.0 1.0 0.0 1 2.032452 1.925812 1.993029 2.032452 2.066435 2.123857
0 8 2 2 2 10000000 400 800 800 0.0 1.0 0.0 0 0.897946 0.723557 0.751808 0.897946 0.947020 0.981069
0 8 4 2 0 25000000 400 800 800 0.0 0.0 0.0 1 3.045450 2.780516 2.878289 3.045450 3.047571 3.047644
0 16 8 4 0 100000000 200 400 400 0.0 1.0 0.0 2 3.535508 2.562770 3.022950 3.535508 3.795510 3.881579
0 8 4 2 2 10000000 200 400 400 0.0 0.0 0.0 0 2.415381 2.112112 2.216161 2.415381 2.606034 2.684583
0 4 2 2 0 10000000 200 400 400 0.0 0.0 0.0 2 0.221494 0.219352 0.219507 0.221494 0.223363 0.223803
0 8 4 2 2 10000000 200 400 400 0.0 0.0 1.0 0 2.505778 2.182509 2.295500 2.505778 2.613959 2.688280
0 16 8 2 2 25000000 400 800 800 0.0 0.0 1.0 1 7.100018 6.159459 6.954737 7.100018 7.100359 7.471290
0 8 2 2 0 25000000 200 400 400 0.0 1.0 0.0 1 4.083163 2.693328 3.735087 4.083163 4.093689 4.183359
0 16 8 2 2 25000000 400 800 800 0.0 0.0 0.0 1 7.099930 5.913862 6.195600 7.099930 7.100271 7.442411
0 16 8 4 2 50000000 200 400 800 0.0 0.0 1.0 0 28.438166 17.901421 23.714841 28.438166 30.477221 30.985993
0 16 8 4 2 50000000 200 400 800 0.0 0.0 0.0 0 28.460419 17.955992 23.325148 28.460419 30.457767 31.010131
0 16 2 2 0 100000000 200 400 800 0.0 1.0 0.0 1 32.621201 22.318170 28.305254 32.621201 32.625346 33.351753
0 16 4 2 2 100000000 200 400 800 0.0 1.0 1.0 1 48.931782 35.696804 45.324233 48.931782 48.933845 49.159275
0 16 8 4 2 25000000 200 400 800 0.0 1.0 0.0 2 0.855600 0.669488 0.742888 0.855600 0.955370 0.979830
0 16 2 2 2 50000000 400 800 800 0.0 0.0 0.0 1 8.109478 5.528569 6.947145 8.109478 8.113558 8.452970
0 16 4 2 2 100000000 200 400 800 0.0 1.0 0.0 1 48.931782 35.696804 45.324233 48.931782 48.933845 49.159275
0 16 4 2 0 10000000 400 800 800 0.0 0.0 0.0 2 0.161061 0.157844 0.160306 0.161061 0.161540 0.161838
0 16 8 4 2 25000000 200 400 800 0.0 1.0 1.0 2 0.868076 0.675871 0.742646 0.868076 0.954889 0.981113
0 16 2 2 2 50000000 400 800 800 0.0 0.0 1.0 1 8.109478 5.577024 7.020309 8.109478 8.113558 8.394883
0 16 8 2 0 100000000 200 400 800 0.0 1.0 0.0 1 57.088078 46.291429 55.536973 57.088078 57.088172 58.544317
0 16 4 2 2 25000000 200 400 800 0.0 1.0 1.0 0 20.337466 5.788915 16.156259 20.337466 20.580800 20.648122
0 16 8 4 0 10000000 400 800 800 0.0 0.0 0.0 0 2.808217 1.950270 2.314154 2.808217 3.029119 3.107360
0 16 4 2 2 25000000 200 400 800 0.0 1.0 0.0 0 20.337466 5.788915 16.156259 20.337466 20.580800 20.648122
0 16 4 2 2 50000000 200 400 800 0.0 0.0 0.0 2 1.525670 1.284820 1.396092 1.525670 1.634265 1.672300
0 16 4 2 2 50000000 200 400 800 0.0 0.0 1.0 2 1.515156 1.279370 1.378471 1.515156 1.638213 1.681838
0 16 2 2 0 10000000 200 400 800 0.0 0.0 0.0 1 3.267603 2.310342 3.058096 3.267603 3.298158 3.423474
0 16 4 2 2 100000000 200 400 400 0.0 0.0 0.0 2 3.138681 2.612034 2.833768 3.138681 3.280939 3.344756
0 16 8 4 2 25000000 200 400 400 0.0 0.0 1.0 1 14.277482 10.679947 13.829685 14.277482 14.278164 14.939548
0 16 8 2 0 100000000 200 400 400 0.0 0.0 0.0 2 3.535508 2.562770 3.022950 3.535508 3.795510 3.881579
0 16 4 2 2 100000000 200 400 400 0.0 0.0 1.0 2 3.107741 2.487569 2.813494 3.107741 3.274764 3.374143
0 4 2 2 0 100000000 400 800 800 0.0 0.0 0.0 2 1.100264 1.097923 1.098410 1.100264 1.102108 1.102526
